,age,Total Optimism,Total Mastery,Total positive affect,Total negative affect,tlifesat,tpstress,Total Self esteem,Total social desirability,Total PCOISS
0,24.0,22.0,22.0,49.0,39.0,23.0,29.0,34.0,4.0,51.0
1,39.0,19.0,21.0,35.0,35.0,30.0,22.0,27.0,5.0,40.0
2,48.0,19.0,19.0,74.0,14.0,33.0,19.0,24.0,8.0,47.0
3,41.0,26.0,26.0,49.0,36.0,33.0,31.0,29.0,3.0,63.0
4,23.0,18.0,23.0,85.0,11.0,16.0,27.0,29.0,4.0,46.0
5,31.0,17.0,23.0,81.0,12.0,10.0,21.0,39.0,10.0,43.0
6,30.0,10.0,9.0,84.0,37.0,5.0,39.0,20.0,3.0,25.0
7,23.0,25.0,21.0,85.0,38.0,25.0,39.0,20.0,4.0,35.0
8,18.0,13.0,12.0,84.0,34.0,8.0,43.0,38.0,5.0,27.0
9,23.0,9.0,13.0,74.0,39.0,5.0,46.0,33.0,2.0,20.0
10,27.0,30.0,25.0,41.0,33.0,23.0,23.0,40.0,2.0,48.0
11,34.0,28.0,26.0,37.0,25.0,31.0,16.0,30.0,6.0,43.0
12,35.0,16.0,17.0,84.0,20.0,5.0,34.0,34.0,5.0,52.0
13,43.0,20.0,18.0,74.0,39.0,8.0,42.0,29.0,3.0,29.0
14,50.0,17.0,21.0,74.0,16.0,27.0,19.0,33.0,5.0,65.0
15,57.0,14.0,15.0,91.0,37.0,7.0,30.0,31.0,3.0,57.0
16,37.0,19.0,23.0,74.0,39.0,14.0,40.0,40.0,6.0,38.0
17,41.0,21.0,16.0,91.0,24.0,21.0,42.0,38.0,4.0,66.0
18,19.0,17.0,14.0,91.0,36.0,9.0,44.0,40.0,3.0,37.0
19,25.0,26.0,25.0,86.0,39.0,20.0,33.0,25.0,9.0,66.0
20,23.0,14.0,20.0,91.0,19.0,17.0,39.0,31.0,1.0,41.0
21,53.0,13.0,11.0,74.0,35.0,23.0,42.0,34.0,4.0,60.0
22,47.0,25.0,20.0,46.0,32.0,32.0,29.0,30.0,6.0,74.0
23,36.0,14.0,21.0,31.0,39.0,20.0,34.0,23.0,7.0,56.0
24,21.0,21.0,17.0,36.0,37.0,23.0,31.0,40.0,2.0,46.0
25,26.0,24.0,20.0,38.0,14.0,20.0,34.0,39.0,4.0,54.0
26,48.0,20.0,15.0,31.0,39.0,19.0,37.0,210.0,5.0,37.0
27,24.0,26.0,18.0,33.0,37.0,27.0,31.0,30.0,2.0,63.0
28,25.0,21.0,23.0,91.0,15.0,25.0,20.0,39.0,4.0,64.0
30,18.0,29.0,22.0,86.0,32.0,27.0,26.0,36.0,6.0,64.0
31,24.0,9.0,12.0,74.0,32.0,11.0,41.0,34.0,7.0,21.0
32,36.0,22.0,21.0,86.0,13.0,27.0,16.0,240.0,5.0,65.0
33,49.0,27.0,26.0,91.0,14.0,25.0,18.0,32.0,8.0,72.0
34,21.0,26.0,26.0,91.0,20.0,27.0,21.0,27.0,5.0,63.0
35,45.0,16.0,25.0,46.0,10.0,27.0,27.0,39.0,6.0,62.0
36,18.0,19.0,20.0,91.0,10.0,25.0,27.0,34.0,5.0,63.0
37,45.0,16.0,20.0,74.0,23.0,30.0,28.0,28.0,6.0,60.0
38,69.0,21.0,17.0,33.0,37.0,26.0,33.0,230.0,4.0,66.0
41,24.0,28.0,24.0,44.0,10.0,31.0,12.0,22.0,7.0,74.0
42,22.0,10.0,22.0,40.0,17.0,11.0,34.0,40.0,2.0,50.0
43,43.0,18.0,19.0,86.0,18.0,19.0,37.0,28.0,7.0,47.0
45,30.0,19.0,20.0,43.0,26.0,20.0,35.0,23.0,6.0,40.0
46,46.0,17.0,17.0,40.0,29.0,30.0,37.0,39.0,8.0,64.0
47,24.0,19.0,18.0,91.0,36.0,12.0,36.0,24.0,2.0,55.0
48,63.0,26.0,24.0,86.0,10.0,20.0,15.0,27.0,7.0,79.0
49,20.0,14.0,14.0,91.0,28.0,6.0,41.0,37.0,5.0,52.0
50,22.0,10.0,20.0,34.0,36.0,20.0,37.0,31.0,3.0,41.0
51,21.0,21.0,23.0,91.0,16.0,19.0,20.0,27.0,5.0,56.0
52,37.0,27.0,25.0,45.0,12.0,29.0,13.0,25.0,6.0,72.0
53,39.0,10.0,11.0,74.0,19.0,16.0,35.0,35.0,6.0,53.0
54,32.0,24.0,25.0,33.0,11.0,23.0,14.0,290.0,4.0,37.0
55,54.0,24.0,28.0,37.0,11.0,33.0,13.0,29.0,8.0,48.0
56,27.0,18.0,21.0,43.0,31.0,29.0,31.0,40.0,7.0,61.0
58,65.0,30.0,28.0,47.0,13.0,30.0,27.0,34.0,10.0,79.0
59,32.0,23.0,26.0,91.0,13.0,17.0,23.0,26.0,10.0,61.0
60,42.0,18.0,20.0,74.0,15.0,14.0,26.0,36.0,4.0,52.0
61,38.0,19.0,19.0,49.0,23.0,18.0,25.0,34.0,4.0,77.0
62,26.0,19.0,20.0,91.0,12.0,20.0,29.0,36.0,6.0,48.0
63,52.0,28.0,19.0,44.0,13.0,34.0,29.0,34.0,6.0,66.0
64,36.0,15.0,17.0,74.0,32.0,21.0,39.0,18.0,9.0,39.0
65,60.0,26.0,10.0,32.0,36.0,23.0,36.0,39.0,6.0,43.0
66,33.0,10.0,11.0,86.0,34.0,9.0,40.0,27.0,4.0,24.0
68,68.0,30.0,28.0,40.0,10.0,35.0,13.0,37.0,7.0,83.0
69,66.0,26.0,15.0,37.0,15.0,32.0,33.0,39.0,8.0,74.0
70,24.0,28.0,27.0,38.0,10.0,25.0,29.0,30.0,4.0,56.0
71,38.0,27.0,27.0,40.0,16.0,24.0,15.0,38.0,5.0,64.0
72,57.0,24.0,19.0,37.0,10.0,23.0,29.0,360.0,4.0,66.0
73,50.0,18.0,18.0,91.0,32.0,10.0,31.0,32.0,5.0,60.0
74,50.0,22.0,19.0,74.0,27.0,14.0,30.0,39.0,8.0,57.0
75,24.0,17.0,20.0,91.0,13.0,19.0,31.0,35.0,8.0,52.0
76,46.0,20.0,23.0,86.0,29.0,30.0,25.0,28.0,8.0,62.0
77,70.0,30.0,15.0,32.0,24.0,10.0,38.0,37.0,8.0,63.0
78,30.0,18.0,19.0,86.0,18.0,27.0,20.0,40.0,7.0,44.0
79,21.0,21.0,18.0,86.0,35.0,24.0,36.0,32.0,4.0,50.0
80,46.0,8.0,9.0,86.0,26.0,17.0,39.0,34.0,0.0,23.0
81,58.0,27.0,27.0,40.0,10.0,35.0,14.0,29.0,6.0,72.0
82,23.0,23.0,19.0,37.0,30.0,22.0,26.0,40.0,4.0,55.0
83,49.0,16.0,18.0,31.0,34.0,9.0,32.0,29.0,2.0,44.0
84,25.0,23.0,23.0,36.0,20.0,30.0,18.0,27.0,4.0,74.0
85,33.0,26.0,20.0,34.0,14.0,25.0,16.0,32.0,4.0,71.0
86,32.0,18.0,20.0,86.0,12.0,30.0,30.0,30.0,7.0,52.0
87,42.0,24.0,26.0,31.0,10.0,26.0,17.0,19.0,6.0,74.0
88,26.0,21.0,24.0,42.0,20.0,12.0,32.0,36.0,7.0,64.0
89,25.0,26.0,24.0,86.0,31.0,28.0,29.0,24.0,4.0,68.0
90,36.0,23.0,20.0,45.0,16.0,28.0,28.0,27.0,6.0,49.0
91,24.0,24.0,22.0,37.0,14.0,23.0,31.0,38.0,3.0,60.0
92,56.0,27.0,28.0,38.0,10.0,33.0,15.0,25.0,8.0,86.0
93,40.0,24.0,24.0,91.0,31.0,16.0,34.0,37.0,5.0,53.0
94,36.0,26.0,24.0,38.0,15.0,16.0,16.0,37.0,6.0,70.0
95,23.0,23.0,21.0,35.0,23.0,31.0,36.0,40.0,3.0,50.0
96,26.0,23.0,27.0,39.0,10.0,34.0,15.0,36.0,10.0,77.0
97,60.0,26.0,24.0,48.0,17.0,27.0,23.0,34.0,9.0,75.0
98,27.0,20.0,22.0,32.0,33.0,20.0,32.0,38.0,8.0,45.0
99,70.0,25.0,23.0,86.0,10.0,32.0,19.0,24.0,6.0,68.0
100,46.0,24.0,25.0,39.0,14.0,24.0,30.0,38.0,5.0,60.0
102,55.0,25.0,18.0,42.0,22.0,24.0,32.0,40.0,5.0,81.0
103,33.0,27.0,19.0,86.0,11.0,31.0,22.0,26.0,4.0,64.0
104,38.0,18.0,20.0,91.0,29.0,15.0,33.0,37.0,2.0,53.0
105,26.0,17.0,16.0,86.0,31.0,27.0,29.0,33.0,7.0,49.0
106,31.0,24.0,25.0,47.0,12.0,30.0,22.0,37.0,7.0,75.0
107,27.0,20.0,22.0,91.0,22.0,19.0,25.0,38.0,2.0,54.0
108,35.0,24.0,19.0,86.0,27.0,25.0,38.0,333.0,7.0,52.0
109,44.0,22.0,24.0,86.0,11.0,28.0,19.0,37.0,6.0,61.0
110,46.0,28.0,27.0,47.0,15.0,12.0,24.0,36.0,5.0,77.0
111,28.0,28.0,28.0,43.0,12.0,35.0,16.0,39.0,4.0,86.0
112,37.0,26.0,23.0,38.0,22.0,30.0,20.0,28.0,4.0,66.0
113,74.0,26.0,23.0,43.0,10.0,34.0,16.0,39.0,7.0,82.0
114,82.0,27.0,23.0,91.0,12.0,29.0,24.0,37.0,7.0,71.0
115,43.0,21.0,25.0,36.0,12.0,16.0,29.0,40.0,7.0,60.0
116,24.0,21.0,23.0,43.0,26.0,23.0,27.0,32.0,4.0,64.0
117,36.0,20.0,17.0,86.0,22.0,22.0,36.0,37.0,4.0,51.0
118,45.0,27.0,28.0,44.0,14.0,22.0,17.0,40.0,5.0,88.0
119,50.0,19.0,25.0,36.0,11.0,14.0,28.0,27.0,6.0,72.0
120,27.0,16.0,19.0,91.0,16.0,7.0,31.0,37.0,5.0,45.0
121,21.0,26.0,27.0,47.0,13.0,25.0,21.0,30.0,7.0,72.0
122,31.0,16.0,15.0,91.0,29.0,16.0,31.0,26.0,3.0,42.0
123,49.0,30.0,27.0,86.0,12.0,28.0,20.0,30.0,7.0,80.0
124,49.0,17.0,16.0,43.0,25.0,23.0,25.0,40.0,5.0,52.0
125,48.0,20.0,23.0,86.0,26.0,19.0,25.0,39.0,1.0,45.0
126,20.0,24.0,20.0,38.0,28.0,18.0,34.0,400.0,1.0,67.0
127,25.0,23.0,27.0,39.0,12.0,28.0,16.0,450.0,3.0,76.0
128,58.0,29.0,23.0,46.0,11.0,27.0,20.0,29.0,5.0,70.0
129,31.0,29.0,28.0,45.0,15.0,27.0,26.0,34.0,7.0,70.0
130,29.0,28.0,28.0,45.0,10.0,26.0,21.0,20.0,8.0,70.0
131,22.0,20.0,22.0,44.0,22.0,16.0,29.0,35.0,4.0,54.0
132,20.0,15.0,20.0,86.0,30.0,14.0,37.0,37.0,5.0,42.0
133,21.0,23.0,22.0,91.0,22.0,29.0,27.0,38.0,6.0,66.0
134,26.0,25.0,27.0,46.0,13.0,31.0,23.0,37.0,7.0,76.0
135,39.0,16.0,18.0,86.0,32.0,13.0,32.0,38.0,7.0,48.0
136,24.0,17.0,27.0,86.0,17.0,18.0,33.0,360.0,6.0,58.0
138,53.0,26.0,16.0,86.0,23.0,11.0,36.0,30.0,5.0,84.0
139,31.0,15.0,16.0,46.0,16.0,20.0,20.0,37.0,7.0,47.0
140,21.0,26.0,24.0,33.0,22.0,26.0,21.0,31.0,3.0,60.0
141,53.0,23.0,19.0,43.0,18.0,24.0,29.0,28.0,7.0,67.0
142,42.0,21.0,23.0,91.0,29.0,13.0,35.0,333.0,3.0,42.0
143,68.0,26.0,18.0,37.0,30.0,23.0,31.0,33.0,5.0,60.0
144,47.0,17.0,17.0,33.0,29.0,14.0,36.0,25.0,3.0,54.0
145,48.0,24.0,26.0,43.0,12.0,23.0,25.0,40.0,7.0,67.0
146,18.0,14.0,15.0,86.0,21.0,13.0,35.0,34.0,3.0,36.0
147,39.0,19.0,20.0,34.0,26.0,14.0,24.0,350.0,5.0,71.0
148,57.0,27.0,28.0,45.0,15.0,23.0,19.0,23.0,8.0,73.0
149,34.0,20.0,23.0,38.0,29.0,24.0,29.0,29.0,4.0,58.0
150,41.0,28.0,23.0,40.0,26.0,18.0,32.0,35.0,5.0,79.0
151,30.0,15.0,15.0,32.0,10.0,11.0,26.0,40.0,5.0,69.0
152,19.0,16.0,19.0,91.0,26.0,23.0,34.0,31.0,2.0,37.0
153,26.0,17.0,19.0,86.0,13.0,17.0,29.0,23.0,4.0,46.0
154,46.0,29.0,28.0,41.0,10.0,31.0,17.0,380.0,8.0,75.0
155,58.0,27.0,26.0,32.0,15.0,24.0,31.0,37.0,6.0,53.0
157,30.0,21.0,19.0,86.0,30.0,25.0,36.0,23.0,2.0,52.0
158,21.0,25.0,22.0,39.0,27.0,27.0,32.0,40.0,1.0,62.0
159,22.0,23.0,17.0,32.0,31.0,23.0,32.0,29.0,4.0,54.0
160,35.0,25.0,17.0,41.0,23.0,24.0,31.0,37.0,3.0,49.0
161,46.0,28.0,22.0,31.0,14.0,26.0,30.0,21.0,6.0,69.0
162,22.0,29.0,25.0,43.0,13.0,29.0,18.0,38.0,5.0,69.0
163,27.0,22.0,27.0,44.0,13.0,29.0,24.0,34.0,8.0,60.0
164,20.0,18.0,21.0,86.0,28.0,16.0,28.0,27.0,4.0,53.0
165,42.0,23.0,16.0,38.0,13.0,14.0,28.0,31.0,5.0,50.0
166,25.0,24.0,24.0,40.0,10.0,29.0,24.0,39.0,4.0,58.0
167,31.0,26.0,27.0,42.0,17.0,32.0,19.0,37.0,3.0,66.0
168,60.0,20.0,19.0,86.0,12.0,11.0,21.0,35.0,5.0,72.0
169,24.0,22.0,18.0,32.0,13.0,18.0,29.0,30.0,5.0,48.0
170,36.0,22.0,19.0,86.0,31.0,23.0,33.0,37.0,4.0,35.0
171,36.0,24.0,26.0,91.0,17.0,20.0,24.0,40.0,7.0,68.0
172,24.0,17.0,22.0,86.0,23.0,23.0,24.0,31.0,4.0,58.0
174,34.0,20.0,23.0,37.0,14.0,18.0,29.0,36.0,6.0,55.0
176,20.0,23.0,25.0,40.0,11.0,19.0,25.0,25.0,7.0,67.0
177,55.0,23.0,22.0,41.0,10.0,24.0,18.0,40.0,7.0,83.0
178,30.0,22.0,19.0,32.0,23.0,17.0,35.0,29.0,5.0,47.0
179,41.0,21.0,21.0,91.0,28.0,10.0,34.0,21.0,3.0,40.0
180,23.0,29.0,27.0,40.0,15.0,32.0,18.0,31.0,3.0,74.0
181,22.0,20.0,25.0,43.0,23.0,16.0,26.0,37.0,6.0,80.0
182,44.0,19.0,21.0,44.0,21.0,24.0,26.0,34.0,6.0,73.0
183,21.0,23.0,22.0,42.0,21.0,27.0,22.0,35.0,2.0,57.0
184,23.0,19.0,21.0,39.0,19.0,27.0,31.0,33.0,2.0,66.0
185,66.0,24.0,27.0,42.0,10.0,35.0,19.0,29.0,3.0,83.0
186,39.0,20.0,22.0,45.0,16.0,24.0,23.0,37.0,4.0,77.0
187,50.0,16.0,23.0,86.0,14.0,17.0,26.0,31.0,5.0,69.0
188,51.0,22.0,17.0,86.0,29.0,19.0,35.0,25.0,3.0,55.0
189,49.0,23.0,22.0,42.0,14.0,31.0,26.0,40.0,5.0,54.0
190,51.0,24.0,26.0,32.0,11.0,19.0,26.0,38.0,8.0,74.0
191,38.0,26.0,28.0,33.0,12.0,28.0,19.0,40.0,3.0,69.0
193,49.0,27.0,27.0,42.0,12.0,23.0,24.0,37.0,6.0,80.0
194,25.0,24.0,24.0,33.0,29.0,18.0,29.0,38.0,5.0,62.0
195,47.0,16.0,19.0,86.0,22.0,20.0,23.0,37.0,7.0,53.0
196,36.0,22.0,23.0,37.0,26.0,30.0,33.0,29.0,7.0,42.0
197,52.0,20.0,9.0,91.0,22.0,9.0,33.0,36.0,4.0,55.0
198,25.0,21.0,18.0,86.0,17.0,17.0,31.0,35.0,3.0,57.0
199,22.0,15.0,25.0,86.0,21.0,10.0,34.0,32.0,3.0,45.0
200,51.0,30.0,23.0,38.0,12.0,32.0,18.0,27.0,9.0,76.0
201,42.0,19.0,18.0,31.0,15.0,15.0,30.0,34.0,4.0,50.0
202,41.0,24.0,25.0,40.0,16.0,31.0,19.0,38.0,6.0,70.0
203,43.0,21.0,16.0,31.0,14.0,15.0,29.0,40.0,4.0,58.0
204,35.0,24.0,20.0,36.0,28.0,17.0,32.0,35.0,5.0,54.0
205,28.0,16.0,17.0,86.0,28.0,29.0,34.0,38.0,6.0,52.0
207,28.0,25.0,23.0,38.0,12.0,14.0,26.0,37.0,8.0,73.0
208,41.0,23.0,27.0,44.0,15.0,21.0,22.0,38.0,4.0,64.0
209,40.0,19.0,16.0,38.0,24.0,10.0,24.0,34.0,7.0,65.0
210,27.0,25.0,23.0,42.0,15.0,25.0,26.0,24.0,4.0,68.0
